net,length_um
_03473_,143.64
_05055_,143.64
_01598_,143.555
_06338_,143.54
_01455_,143.39
_05884_,143.32
branchgen_i.ID_imm2_i\[28\],143.19
_04175_,142.68
clknet_leaf_135_clk_i,142.63
_01541_,142.24
_05840_,142.13
branchgen_i.ID_imm2_i\[0\],141.35
_06256_,141.32
_04994_,141.08
_01773_,140.68
_03135_,139.92
id_stage_i.rs1_rd_data\[23\],139.88
_01595_,139.3
_01461_,139.105
_04787_,138.95
mem_stage_i.mem_op\[0\],138.09
_01978_,138.075
branchgen_i.ID_imm2_i\[25\],137.11
_02896_,136.88
branchgen_i.ID_imm2_i\[23\],136.78
_01588_,136.73
branchgen_i.ID_imm2_i\[2\],136.68
_02803_,136.36
_03870_,135.94
_04974_,135.635
_02034_,135.54
_04191_,135.4
_05173_,135.4
_05885_,135.38
clknet_leaf_10_clk_i,135.12
id_stage_i.rs2_rd_data\[25\],133.72
_04127_,133.64
_05289_,133.52
_05468_,133.42
_02881_,133.36
_02809_,133
_05227_,132.815
_04976_,132.48
_03695_,132.46
_01587_,132.34
_06423_,131.84
_01580_,131.32
_03888_,130.43
clknet_leaf_107_clk_i,130.135
id_stage_i.rs2_rd_data\[23\],129.4
clknet_leaf_74_clk_i,129.32
_01576_,128.69
branchgen_i.ID_imm2_i\[20\],128
_02204_,127.83
_01620_,126.41
_02078_,126.37
_03745_,125.9
_02067_,125.815
_02961_,125.72
clknet_leaf_79_clk_i,124.44
clknet_leaf_82_clk_i,123.94
_03799_,123.5
clknet_leaf_3_clk_i,123.38
id_stage_i.rs2_rd_data\[29\],123.14
id_stage_i.rs2_rd_data\[21\],123.12
_04111_,122.8
_01622_,122.775
_06427_,122.76
_02907_,122.68
_04987_,122.31
_06030_,122.26
_05214_,122.25
_05026_,122.18
clknet_leaf_26_clk_i,122.08
_04984_,121.83
_02022_,121.77
clknet_leaf_95_clk_i,121.72
clknet_leaf_49_clk_i,121.66
_02064_,121.64
_05562_,120.83
_03271_,120.78
id_stage_i.rs1_rd_data\[13\],120.78
id_stage_i.rs2_rd_data\[10\],120.46
_04302_,120.4
_02056_,120.22
clknet_leaf_83_clk_i,120.16
clknet_leaf_120_clk_i,120.14
ex_stage_i.ID_imm1_i\[0\],120.1
_03368_,120.01
id_stage_i.rs2_rd_data\[5\],119.72
_03348_,119.64
_03077_,119.58
id_stage_i.rs1_rd_data\[12\],119.57
_01584_,119.55
mem_stage_i.MEM_alu_result_o\[1\],119.25
clknet_leaf_161_clk_i,119.22
_01645_,119.14
clknet_leaf_38_clk_i,118.9
branchgen_i.ID_imm2_i\[18\],118.8
clknet_leaf_54_clk_i,118.64
clknet_leaf_167_clk_i,118.62
id_stage_i.rs2_rd_data\[22\],118.42
_02121_,118.18
id_stage_i.ID_alu_ctrl_o\[1\],117.96
_05600_,117.94
id_stage_i.rs2_rd_data\[28\],117.86
_05191_,117.66
_03763_,117.38
_05824_,117.36
clknet_leaf_134_clk_i,117.26
_01509_,116.52
_04031_,116.4
clknet_leaf_47_clk_i,116.14
_03784_,116.06
branchgen_i.ID_pc_i\[4\],116.06
_01514_,115.92
_02098_,115.86
clknet_leaf_43_clk_i,115.54
_05001_,115.26
id_stage_i.rs1_rd_data\[0\],115.24
_02826_,115.22
clknet_leaf_112_clk_i,114.675
_06466_,114.64
clknet_leaf_56_clk_i,114.38
ex_stage_i.ID_imm1_i\[1\],114.29
net159,114.2
clknet_leaf_67_clk_i,113.88
clknet_leaf_4_clk_i,113.82
_04975_,113.57
ex_stage_i.ID_imm1_i\[4\],113.55
_02226_,113.54
_05324_,113.38
clknet_leaf_70_clk_i,113.38
_04954_,113.16
_05489_,113.05
_05431_,112.98
clknet_leaf_17_clk_i,112.96
net133,112.9
_05712_,112.53
branchgen_i.ID_imm2_i\[30\],112.48
_01596_,112.46
_02095_,112.19
id_stage_i.rs2_rd_data\[30\],112.06
clknet_leaf_110_clk_i,111.94
_06306_,111.88
_05231_,111.62
id_stage_i.rs2_rd_data\[18\],111.58
branchgen_i.ID_pc_i\[12\],111.56
clknet_leaf_19_clk_i,111.4
_01848_,111.295
branchgen_i.ID_pc_i\[1\],111.24
_06063_,111.14
id_stage_i.rs1_rd_data\[2\],111.1
_05183_,111.07
_03423_,110.98
net191,110.82
branchgen_i.ID_imm2_i\[21\],110.57
clknet_leaf_85_clk_i,110.46
_03904_,110.41
_02982_,110.22
_03800_,110.05
id_stage_i.rs2_rd_data\[0\],109.94
clknet_leaf_111_clk_i,109.94
_03159_,109.71
branchgen_i.ID_imm2_i\[5\],109.44
_04982_,109.43
clknet_leaf_2_clk_i,109.22
_05025_,108.995
clknet_leaf_31_clk_i,108.88
_05202_,108.44
_05002_,108.4
clknet_leaf_20_clk_i,107.96
_04959_,107.92
id_stage_i.rs1_rd_data\[29\],107.62
_01999_,107.14
net71,106.68
_06484_,106.66
_05471_,106.44
_05605_,106.32
_02614_,106.18
net89,106.18
_04409_,106.04
_02933_,105.9
_02338_,105.78
branchgen_i.ID_imm2_i\[19\],105.36
_05012_,105.19
_02169_,104.98
_03946_,104.52
_01909_,104.38
_01592_,104.33
net189,104.33
_02960_,104
clknet_leaf_71_clk_i,103.94
_06102_,103.905
branchgen_i.ID_imm2_i\[4\],103.8
id_stage_i.rs1_rd_data\[24\],103.76
clknet_leaf_87_clk_i,103.14
_01722_,103.08
_05899_,103
_05638_,102.89
clknet_leaf_6_clk_i,102.78
clknet_leaf_84_clk_i,102.3
_01721_,102.17
_03818_,102.12
clknet_leaf_37_clk_i,102.02
_05374_,102
branchgen_i.ID_imm2_i\[29\],101.72
clknet_leaf_7_clk_i,101.34
_04798_,101.28
_05807_,101.02
_03964_,100.78
id_stage_i.rs1_rd_data\[6\],100.64
_01449_,100.6
_02443_,100.58
clknet_leaf_109_clk_i,100.36
_05837_,100.14
_04102_,100.07
_02184_,99.95
id_stage_i.rs2_rd_data\[27\],99.86
_06153_,99.8
_05655_,99.71
clknet_leaf_102_clk_i,99.24
clknet_leaf_28_clk_i,99.14
_03389_,99.08
clknet_leaf_146_clk_i,98.92
_05819_,98.5
_05720_,98.41
branchgen_i.ID_pc_i\[13\],98.32
mem_stage_i.mem_op\[2\],98.29
_01563_,98.01
branchgen_i.ID_imm2_i\[26\],97.98
_03339_,97.68
_05743_,97.67
clknet_leaf_13_clk_i,97.6
_02120_,97.13
ex_stage_i.ID_imm1_i\[15\],97.1
clknet_leaf_119_clk_i,96.98
_01629_,96.84
clknet_leaf_57_clk_i,96.84
clknet_leaf_155_clk_i,96.8
_01581_,96.78
_06433_,96.78
id_stage_i.rs1_rd_data\[26\],96.7
_04165_,96.42
_05168_,96.33
_06104_,95.92
clknet_leaf_29_clk_i,95.9
_03179_,95.8
ex_stage_i.ID_imm1_i\[7\],95.6
clknet_leaf_30_clk_i,95.58
_02017_,95.56
ex_stage_i.ID_imm1_i\[12\],95.46
clknet_leaf_40_clk_i,95.42
_04095_,95.34
_05039_,95.22
clknet_leaf_104_clk_i,95.2
ex_stage_i.ID_imm1_i\[6\],95.14
_03614_,95.1
_02191_,94.87
branchgen_i.ID_imm2_i\[24\],94.86
_05209_,94.845
clknet_leaf_77_clk_i,94.7
clknet_leaf_75_clk_i,94.58
clknet_leaf_44_clk_i,94.48
id_stage_i.rs1_rd_data\[25\],94.26
clknet_leaf_103_clk_i,94.22
_02335_,93.97
clknet_leaf_48_clk_i,93.84
_05711_,93.8
_06005_,93.76
clknet_leaf_80_clk_i,93.74
_05067_,93.64
_01756_,93.54
branchgen_i.ID_imm2_i\[14\],93.45
_03827_,93.4
_01851_,92.94
clknet_leaf_141_clk_i,92.84
_01062_,92.8
_01846_,92.785
clknet_leaf_139_clk_i,92.52
ex_stage_i.ID_imm1_i\[16\],92.42
_03898_,92.24
id_stage_i.rs1_rd_data\[27\],92.22
clknet_leaf_131_clk_i,92.1
_04063_,92.08
_05009_,91.96
clknet_leaf_62_clk_i,91.36
clknet_leaf_0_clk_i,91.28
clknet_leaf_64_clk_i,91.22
mem_stage_i.MEM_alu_result_o\[13\],91.195
_04766_,91.17
id_stage_i.rs1_rd_data\[15\],91.04
_05500_,90.92
clknet_leaf_36_clk_i,90.62
clknet_leaf_93_clk_i,90.58
_01498_,90.42
_06252_,90.38
_03579_,90.36
_01993_,90.34
_03030_,90.34
id_stage_i.rs2_rd_data\[26\],90.16
_04086_,90.08
clknet_leaf_41_clk_i,90.02
_02123_,89.96
_05449_,89.96
_02474_,89.93
ex_stage_i.ID_imm1_i\[13\],89.88
clknet_leaf_25_clk_i,89.855
_00959_,89.74
_01677_,89.73
id_stage_i.rs1_rd_data\[3\],89.72
net86,89.38
clknet_leaf_42_clk_i,89.2
_05061_,89.04
_03349_,89
id_stage_i.rs2_rd_data\[2\],88.94
